seed,candidate,theme,rooms,floorRatio,emptyRadius,hullArea,longestUnbranched
914001,2,1,8,0.5624,8.94,8622.87,37.15
914002,9,0,9,0.5395,8.49,9923.37,37.56
914003,0,1,7,0.5461,10.77,8316.01,34.11
914004,1,0,8,0.5557,8.94,8129.07,33.62
914005,1,1,9,0.5847,10.00,10338.04,36.81
914006,1,0,7,0.5037,11.31,8607.01,37.65
914007,0,1,8,0.5390,10.00,9401.87,38.12
914008,19,0,9,0.5582,8.00,9621.42,38.72
914009,0,1,7,0.5184,11.31,8597.74,38.24
914010,1,0,8,0.5302,11.31,8847.55,37.38
914011,0,1,9,0.5607,12.00,10150.74,38.54
914012,0,0,7,0.5317,10.00,7906.45,35.26
914013,2,1,8,0.5453,10.00,9266.62,38.21
914014,9,0,9,0.5280,8.94,9781.74,34.98
914015,0,1,7,0.5129,11.31,8249.85,37.70
914016,0,0,8,0.5274,10.20,8803.55,36.44
914017,10,1,9,0.5631,11.66,10560.54,37.31
914018,4,0,7,0.5308,11.31,7988.21,38.25
914019,7,1,8,0.5657,10.77,9181.50,38.08
914020,5,0,9,0.5441,11.66,9479.52,37.44
914021,0,1,7,0.5213,10.00,8331.27,36.01
914022,3,0,8,0.5205,10.00,8792.51,36.61
914023,0,1,9,0.5513,12.17,9889.07,35.39
914024,1,0,7,0.4898,12.17,8649.43,39.31
914025,0,1,8,0.5563,10.77,9381.60,38.84
914026,8,0,9,0.5557,8.94,9195.75,36.40
914027,0,1,7,0.5258,8.94,8029.75,35.32
914028,0,0,8,0.5222,8.94,8253.52,38.53
914029,3,1,9,0.5504,11.31,9904.31,38.38
914030,0,0,7,0.5408,10.77,8047.64,37.35
914031,0,1,8,0.5499,10.77,9265.92,38.47
914032,3,0,9,0.5374,12.00,9841.17,39.24
914033,0,1,7,0.5301,10.00,8702.08,37.41
914034,0,0,8,0.5286,10.00,8780.37,37.84
914035,2,1,9,0.5878,10.00,10129.37,37.73
914036,0,0,7,0.5005,11.66,8000.62,35.61
