PASS 720x1280 boss=False viewport=(x:0.00, y:0.00, width:720.00, height:1280.00) hero=(360.00, 679.26, 32.30) cameraHalfHeight=10.66667
PASS 1280x720 boss=False viewport=(x:0.00, y:0.00, width:1280.00, height:720.00) hero=(640.00, 383.56, 32.30) cameraHalfHeight=10
PASS 1920x1080 boss=False viewport=(x:0.00, y:0.00, width:1920.00, height:1080.00) hero=(960.00, 575.34, 32.30) cameraHalfHeight=10
PASS 1920x1200 boss=False viewport=(x:0.00, y:0.00, width:1920.00, height:1200.00) hero=(960.00, 639.26, 32.30) cameraHalfHeight=10
PASS 900x900 boss=False viewport=(x:0.00, y:0.00, width:900.00, height:900.00) hero=(450.00, 479.45, 32.30) cameraHalfHeight=10
PASS 640x360 boss=False viewport=(x:0.00, y:0.00, width:640.00, height:360.00) hero=(320.00, 199.63, 32.30) cameraHalfHeight=6
PASS 360x640 boss=False viewport=(x:0.00, y:0.00, width:360.00, height:640.00) hero=(180.00, 339.63, 32.30) cameraHalfHeight=10.66667
PASS 768x1024 boss=False viewport=(x:0.00, y:0.00, width:768.00, height:1024.00) hero=(384.00, 545.50, 32.30) cameraHalfHeight=10
PASS 958x640 boss=False viewport=(x:0.00, y:0.00, width:958.00, height:640.00) hero=(479.00, 340.94, 32.30) cameraHalfHeight=10
PASS 960x640 boss=False viewport=(x:0.00, y:0.00, width:960.00, height:640.00) hero=(480.00, 340.94, 32.30) cameraHalfHeight=10
PASS 1280x600 boss=False viewport=(x:0.00, y:0.00, width:1280.00, height:600.00) hero=(640.00, 319.63, 32.30) cameraHalfHeight=10
PASS 900x360 boss=False viewport=(x:0.00, y:0.00, width:900.00, height:360.00) hero=(450.00, 199.63, 32.30) cameraHalfHeight=6
PASS 390x844 boss=False viewport=(x:0.00, y:0.00, width:390.00, height:844.00) hero=(195.00, 443.27, 32.30) cameraHalfHeight=12.98462
PASS 390x818 boss=False viewport=(x:0.00, y:0.00, width:390.00, height:818.00) hero=(195.00, 430.27, 32.30) cameraHalfHeight=12.58462
PASS 390x820 boss=False viewport=(x:0.00, y:0.00, width:390.00, height:820.00) hero=(195.00, 431.27, 32.30) cameraHalfHeight=12.61539
PASS 3440x1440 boss=False viewport=(x:0.00, y:0.00, width:3440.00, height:1440.00) hero=(1720.00, 767.11, 32.30) cameraHalfHeight=10
PASS 1280x720 boss=True viewport=(x:0.00, y:0.00, width:1280.00, height:720.00) hero=(640.00, 383.56, 32.30) cameraHalfHeight=10
PASS 640x360 boss=True viewport=(x:0.00, y:0.00, width:640.00, height:360.00) hero=(320.00, 199.63, 32.30) cameraHalfHeight=6
PASS 360x640 boss=True viewport=(x:0.00, y:0.00, width:360.00, height:640.00) hero=(180.00, 339.63, 32.30) cameraHalfHeight=10.66667
PASS 720x1280 boss=True viewport=(x:0.00, y:0.00, width:720.00, height:1280.00) hero=(360.00, 679.26, 32.30) cameraHalfHeight=10.66667
PASS 960x640 boss=True viewport=(x:0.00, y:0.00, width:960.00, height:640.00) hero=(480.00, 340.94, 32.30) cameraHalfHeight=10
PASS 640x360 boss=True viewport=(x:0.00, y:0.00, width:640.00, height:360.00) hero=(320.00, 199.63, 32.30) cameraHalfHeight=6
PASS 1280x720 boss=True viewport=(x:0.00, y:0.00, width:1280.00, height:720.00) hero=(640.00, 383.56, 32.30) cameraHalfHeight=10
PASS 640x360 boss=False viewport=(x:0.00, y:0.00, width:640.00, height:360.00) hero=(320.00, 199.63, 32.30) cameraHalfHeight=6
