ko-50 1600x900 scale=0.5 skills=(x:2824.80, y:52.00, width:76.80, height:76.80) potions=(x:2905.50, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:3136.00, height:3.00) PASS <=2 logical px
ko-50 900x1600 scale=0.5 skills=(x:1476.00, y:148.00, width:64.00, height:64.00) potions=(x:1528.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
ko-50 2000x900 scale=0.559017 skills=(x:3202.51, y:52.00, width:76.80, height:76.80) potions=(x:3283.21, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:3513.71, height:3.00) PASS <=2 logical px
ko-50 1200x900 scale=0.4330127 skills=(x:2396.08, y:52.00, width:76.80, height:76.80) potions=(x:2476.78, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:2707.28, height:3.00) PASS <=2 logical px
ko-50 360x640 scale=0.4 skills=(x:576.00, y:148.00, width:64.00, height:64.00) potions=(x:628.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
ko-100 1600x900 scale=1 skills=(x:1224.80, y:52.00, width:76.80, height:76.80) potions=(x:1305.50, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1536.00, height:3.00) PASS <=2 logical px
ko-100 900x1600 scale=1 skills=(x:576.00, y:148.00, width:64.00, height:64.00) potions=(x:628.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
ko-100 2000x900 scale=1.118034 skills=(x:1413.65, y:52.00, width:76.80, height:76.80) potions=(x:1494.35, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1724.85, height:3.00) PASS <=2 logical px
ko-100 1200x900 scale=0.8660254 skills=(x:1010.44, y:52.00, width:76.80, height:76.80) potions=(x:1091.14, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1321.64, height:3.00) PASS <=2 logical px
ko-100 360x640 scale=0.4 skills=(x:576.00, y:148.00, width:64.00, height:64.00) potions=(x:628.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
ko-150 1600x900 scale=1.5 skills=(x:691.47, y:52.00, width:76.80, height:76.80) potions=(x:772.17, y:269.60, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1002.67, height:3.00) PASS <=2 logical px
ko-150 900x1600 scale=1.5 skills=(x:276.00, y:340.00, width:64.00, height:64.00) potions=(x:328.00, y:240.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
ko-150 2000x900 scale=1.677051 skills=(x:817.37, y:52.00, width:76.80, height:76.80) potions=(x:898.07, y:269.60, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1128.57, height:3.00) PASS <=2 logical px
ko-150 1200x900 scale=1.299038 skills=(x:548.56, y:52.00, width:76.80, height:76.80) potions=(x:629.26, y:269.60, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:859.76, height:3.00) PASS <=2 logical px
ko-150 360x640 scale=0.6 skills=(x:276.00, y:340.00, width:64.00, height:64.00) potions=(x:328.00, y:240.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
en-50 1600x900 scale=0.5 skills=(x:2824.80, y:52.00, width:76.80, height:76.80) potions=(x:2905.50, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:3136.00, height:3.00) PASS <=2 logical px
en-50 900x1600 scale=0.5 skills=(x:1476.00, y:148.00, width:64.00, height:64.00) potions=(x:1528.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
en-50 2000x900 scale=0.559017 skills=(x:3202.51, y:52.00, width:76.80, height:76.80) potions=(x:3283.21, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:3513.71, height:3.00) PASS <=2 logical px
en-50 1200x900 scale=0.4330127 skills=(x:2396.08, y:52.00, width:76.80, height:76.80) potions=(x:2476.78, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:2707.28, height:3.00) PASS <=2 logical px
en-50 360x640 scale=0.4 skills=(x:576.00, y:148.00, width:64.00, height:64.00) potions=(x:628.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
en-100 1600x900 scale=1 skills=(x:1224.80, y:52.00, width:76.80, height:76.80) potions=(x:1305.50, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1536.00, height:3.00) PASS <=2 logical px
en-100 900x1600 scale=1 skills=(x:576.00, y:148.00, width:64.00, height:64.00) potions=(x:628.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
en-100 2000x900 scale=1.118034 skills=(x:1413.65, y:52.00, width:76.80, height:76.80) potions=(x:1494.35, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1724.85, height:3.00) PASS <=2 logical px
en-100 1200x900 scale=0.8660254 skills=(x:1010.44, y:52.00, width:76.80, height:76.80) potions=(x:1091.14, y:164.80, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1321.64, height:3.00) PASS <=2 logical px
en-100 360x640 scale=0.4 skills=(x:576.00, y:148.00, width:64.00, height:64.00) potions=(x:628.00, y:56.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
en-150 1600x900 scale=1.5 skills=(x:691.47, y:52.00, width:76.80, height:76.80) potions=(x:772.17, y:269.60, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1002.67, height:3.00) PASS <=2 logical px
en-150 900x1600 scale=1.5 skills=(x:276.00, y:340.00, width:64.00, height:64.00) potions=(x:328.00, y:240.00, width:60.00, height:60.00) XP=(x:136.00, y:72.00, width:260.00, height:3.00) PASS <=2 logical px
en-150 2000x900 scale=1.677051 skills=(x:817.37, y:52.00, width:76.80, height:76.80) potions=(x:898.07, y:269.60, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:1128.57, height:3.00) PASS <=2 logical px
en-150 1200x900 scale=1.299038 skills=(x:548.56, y:52.00, width:76.80, height:76.80) potions=(x:629.26, y:269.60, width:45.00, height:45.00) XP=(x:32.00, y:16.00, width:859.76, height:3.00) PASS <=2 logical px
