1600x900-50-ko 1600x900 pad=(x:27.00, y:136.00, width:180.00, height:180.00) potion=(x:2905.50, y:161.80, width:45.00, height:45.00) PASS
1600x900-100-ko 1600x900 pad=(x:27.00, y:245.00, width:180.00, height:180.00) potion=(x:1305.50, y:161.80, width:45.00, height:45.00) PASS
1600x900-150-ko 1600x900 pad=(x:27.00, y:354.00, width:180.00, height:180.00) potion=(x:772.17, y:266.60, width:45.00, height:45.00) PASS
1600x1000-50-ko 1600x1000 pad=(x:30.00, y:144.90, width:200.00, height:200.00) potion=(x:2741.29, y:161.80, width:45.00, height:45.00) PASS
1600x1000-100-ko 1600x1000 pad=(x:30.00, y:260.14, width:200.00, height:200.00) potion=(x:1223.39, y:161.80, width:45.00, height:45.00) PASS
1600x1000-150-ko 1600x1000 pad=(x:30.00, y:374.71, width:200.00, height:200.00) potion=(x:717.43, y:266.60, width:45.00, height:45.00) PASS
2100x900-50-ko 2100x900 pad=(x:27.00, y:152.00, width:180.00, height:180.00) potion=(x:3371.56, y:161.80, width:45.00, height:45.00) PASS
2100x900-100-ko 2100x900 pad=(x:27.00, y:277.00, width:180.00, height:180.00) potion=(x:1538.53, y:161.80, width:45.00, height:45.00) PASS
2100x900-150-ko 2100x900 pad=(x:27.00, y:402.00, width:180.00, height:180.00) potion=(x:927.52, y:266.60, width:45.00, height:45.00) PASS
900x1600-50-ko 900x1600 pad=(x:360.00, y:153.00, width:180.00, height:180.00) potion=(x:1528.00, y:224.00, width:60.00, height:60.00) PASS
900x1600-100-ko 900x1600 pad=(x:360.00, y:279.00, width:180.00, height:180.00) potion=(x:628.00, y:224.00, width:60.00, height:60.00) PASS
900x1600-150-ko 900x1600 pad=(x:360.00, y:538.50, width:180.00, height:180.00) potion=(x:328.00, y:224.00, width:60.00, height:60.00) PASS
956x440-50-ko 956x440 pad=(x:13.20, y:100.60, width:88.00, height:88.00) potion=(x:2095.50, y:161.80, width:45.00, height:45.00) PASS
956x440-100-ko 956x440 pad=(x:13.20, y:131.02, width:88.00, height:88.00) potion=(x:1474.32, y:161.80, width:45.00, height:45.00) PASS
956x440-150-ko 956x440 pad=(x:13.20, y:190.21, width:88.00, height:88.00) potion=(x:884.71, y:266.60, width:45.00, height:45.00) PASS
440x956-50-ko 440x956 pad=(x:176.00, y:114.00, width:88.00, height:88.00) potion=(x:828.00, y:224.00, width:60.00, height:60.00) PASS
440x956-100-ko 440x956 pad=(x:176.00, y:149.40, width:88.00, height:88.00) potion=(x:542.10, y:224.00, width:60.00, height:60.00) PASS
440x956-150-ko 440x956 pad=(x:176.00, y:289.98, width:88.00, height:88.00) potion=(x:270.73, y:224.00, width:60.00, height:60.00) PASS
