1600x900-50 1600x900 pad=(x:27.00, y:146.00, width:180.00, height:180.00) potion=(x:2905.50, y:164.80, width:45.00, height:45.00) PASS
1600x900-100 1600x900 pad=(x:27.00, y:245.00, width:180.00, height:180.00) potion=(x:1305.50, y:164.80, width:45.00, height:45.00) PASS
1600x900-150 1600x900 pad=(x:27.00, y:354.00, width:180.00, height:180.00) potion=(x:772.17, y:269.60, width:45.00, height:45.00) PASS
900x1600-50 900x1600 pad=(x:27.00, y:153.00, width:180.00, height:180.00) potion=(x:1528.00, y:340.00, width:60.00, height:60.00) PASS
900x1600-100 900x1600 pad=(x:27.00, y:279.00, width:180.00, height:180.00) potion=(x:628.00, y:340.00, width:60.00, height:60.00) PASS
900x1600-150 900x1600 pad=(x:27.00, y:405.00, width:180.00, height:180.00) potion=(x:328.00, y:532.00, width:60.00, height:60.00) PASS
844x390-50 844x390 pad=(x:11.70, y:113.70, width:78.00, height:78.00) potion=(x:1815.50, y:164.80, width:45.00, height:45.00) PASS
844x390-100 844x390 pad=(x:11.70, y:126.98, width:78.00, height:78.00) potion=(x:1470.81, y:164.80, width:45.00, height:45.00) PASS
844x390-150 844x390 pad=(x:11.70, y:169.43, width:78.00, height:78.00) potion=(x:882.37, y:269.60, width:45.00, height:45.00) PASS
390x844-50 390x844 pad=(x:11.70, y:116.10, width:78.00, height:78.00) potion=(x:703.00, y:340.00, width:60.00, height:60.00) PASS
390x844-100 390x844 pad=(x:11.70, y:132.18, width:78.00, height:78.00) potion=(x:543.72, y:340.00, width:60.00, height:60.00) PASS
390x844-150 390x844 pad=(x:11.70, y:192.42, width:78.00, height:78.00) potion=(x:271.81, y:532.00, width:60.00, height:60.00) PASS
640x360-50 640x360 pad=(x:10.80, y:112.80, width:72.00, height:72.00) potion=(x:1305.50, y:164.80, width:45.00, height:45.00) PASS
640x360-100 640x360 pad=(x:10.80, y:112.80, width:72.00, height:72.00) potion=(x:1305.50, y:164.80, width:45.00, height:45.00) PASS
640x360-150 640x360 pad=(x:10.80, y:146.80, width:72.00, height:72.00) potion=(x:772.17, y:269.60, width:45.00, height:45.00) PASS
360x640-50 360x640 pad=(x:10.80, y:115.20, width:72.00, height:72.00) potion=(x:628.00, y:340.00, width:60.00, height:60.00) PASS
360x640-100 360x640 pad=(x:10.80, y:115.20, width:72.00, height:72.00) potion=(x:628.00, y:340.00, width:60.00, height:60.00) PASS
360x640-150 360x640 pad=(x:10.80, y:162.00, width:72.00, height:72.00) potion=(x:328.00, y:532.00, width:60.00, height:60.00) PASS
safe-area 1600x900 pad=(x:115.38, y:259.89, width:169.20, height:169.20) potion=(x:1302.31, y:164.80, width:45.00, height:45.00) PASS
english 1600x900 pad=(x:27.00, y:245.00, width:180.00, height:180.00) potion=(x:1305.50, y:164.80, width:45.00, height:45.00) PASS
